qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q37085,102,80,22,89,16
Q41370,76,0,75,66,26
Q9077,12,0,12,12,10
Q853439,1,0,1,1,1
Q66919839,1,0,1,1,1
Q492665,1,0,1,1,1
Q467115,7,5,2,7,3
Q108422651,4,4,0,3,2
Q550869,1,0,1,1,1
Q2910439,1,0,1,1,1
Q43280403,5,1,4,4,4
Q140486012,2,2,0,2,2
Q3567244,3,2,1,3,3
Q7180687,2,2,0,1,1
Q159888,4,4,0,4,1
Q319116,1,0,1,1,1
Q2590260,2,1,1,2,2
Q313219,19,18,1,19,5
Q26835883,4,0,4,4,3
Q211663,39,39,0,33,5
Q45090,2,0,2,2,2
Q114752409,1,1,0,1,1
Q6182203,1,0,1,1,1
Q114752196,1,0,1,1,1
Q96105737,1,0,1,1,1
Q123269487,1,1,0,1,1
Q123269545,1,1,0,1,1
Q8064608,1,1,0,1,1
Q2903509,5,2,3,4,2
Q273517,15,14,1,15,5
Q139298368,1,1,0,1,1
Q138715678,1,1,0,1,1
Q140130979,1,1,0,1,1
Q7499062,5,2,3,4,1
Q865263,1,1,0,1,1
Q114921395,1,0,1,1,1
Q51676,7,0,7,6,5
Q313415,31,27,4,27,6
Q138780065,1,1,0,1,1
Q4832269,2,2,0,2,1
Q19893741,2,0,2,2,1
Q313224,4,4,0,4,1
Q816397,4,2,2,3,1
Q126689,47,41,6,44,6
Q140252927,1,1,0,1,1
Q138768931,1,1,0,1,1
Q140053796,1,1,0,1,1
Q138862815,1,1,0,1,1
Q138936362,1,1,0,1,1
Q140032487,1,1,0,1,1
Q138648102,1,1,0,1,1
Q139571176,1,1,0,1,1
Q139571156,1,1,0,1,1
Q138704639,1,1,0,1,1
Q138787064,1,0,1,1,1
Q235901,37,28,9,31,3
Q133322634,2,0,2,2,1
Q1686571,1,1,0,1,1
Q10293838,2,0,2,2,2
Q138720971,1,1,0,1,1
Q138862822,1,1,0,1,1
Q9181,2,0,2,2,2
Q1966067,1,1,0,1,1
Q138769175,1,0,1,1,1
Q140303299,1,0,1,1,1
Q4833002,1,0,1,1,1
Q133454594,1,0,1,1,1
Q313213,2,1,1,2,1
Q313215,21,15,6,19,2
Q116686349,3,2,1,3,1
Q116686355,3,2,1,3,1
Q116686363,3,2,1,3,1
Q116686368,3,2,1,3,1
Q116686376,3,2,1,3,1
Q116686382,3,2,1,3,1
Q313214,19,15,4,12,3
Q463934,10,8,2,10,3
Q313221,1,0,1,1,1
Q334739,6,6,0,3,1
Q127170,2,2,0,2,1
Q313225,6,5,1,4,2
Q17012506,1,0,1,1,1
Q4202829,2,2,0,1,1
Q313229,33,31,2,27,4
Q2194240,24,19,5,20,3
Q139556628,1,1,0,1,1
Q139556682,1,1,0,1,1
Q123148948,1,1,0,1,1
Q123148903,1,0,1,1,1
Q138787153,1,0,1,1,1
Q8071446,1,0,1,1,1
Q2060131,4,4,0,3,1
Q313237,23,20,3,22,3
Q334736,7,7,0,6,1
Q334729,2,0,2,2,1
Q313216,16,15,1,15,2
Q20502646,1,0,1,1,1
Q138769194,1,1,0,1,1
Q188794,3,2,1,3,2
Q4748020,3,0,3,3,2
Q109920,7,7,0,7,2
Q137824550,1,0,1,1,1
Q138862846,1,0,1,1,1
Q30914,16,13,3,14,3
Q334744,2,2,0,2,1
Q114906785,1,0,1,1,1
Q138787402,1,1,0,1,1
Q139582124,1,1,0,1,1
Q16341302,1,1,0,1,1
Q139556996,1,1,0,1,1
Q140382407,1,1,0,1,1
Q140312702,1,0,1,1,1
Q138721387,1,1,0,1,1
Q210074,3,3,0,3,1
Q244912,57,55,2,53,6
Q3603705,1,0,1,1,1
Q123159230,1,0,1,1,1
Q139557277,1,0,1,1,1
Q123165802,1,0,1,1,1
Q139557409,1,1,0,1,1
Q117054247,1,1,0,1,1
Q117054240,1,0,1,1,1
Q139928732,1,1,0,1,1
Q138769284,1,1,0,1,1
Q139963665,1,1,0,1,1
Q140053814,1,1,0,1,1
Q139268377,1,1,0,1,1
Q139567866,2,2,0,2,1
Q140499759,3,3,0,3,2
Q139963652,2,2,0,2,1
Q139574764,1,1,0,1,1
Q138936700,1,1,0,1,1
Q140303432,1,1,0,1,1
Q140053826,1,1,0,1,1
Q138721004,1,1,0,1,1
Q140158808,1,1,0,1,1
Q207140,10,10,0,10,1
Q156328,15,12,3,14,2
Q313423,6,6,0,6,1
Q313228,36,33,3,32,4
Q2904866,8,8,0,5,1
Q9641178,1,0,1,1,1
Q3276278,7,7,0,7,2
Q2670550,1,0,1,1,1
Q138769478,1,1,0,1,1
Q2914557,1,0,1,1,1
Q4695108,1,1,0,1,1
Q583207,2,2,0,2,1
Q133830235,1,0,1,1,1
Q125477325,1,0,1,1,1
Q138769597,1,1,0,1,1
Q140053835,1,1,0,1,1
Q6577515,1,0,1,1,1
Q125102,6,6,0,5,2
Q158825,4,2,2,4,2
Q336832,4,3,1,3,1
Q319034,7,7,0,4,1
Q12591,7,7,0,6,1
Q319049,4,4,0,3,1
Q184273,3,3,0,3,1
Q8423,3,3,0,2,1
