qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q235901,38,0,38,29,6
Q313213,14,14,0,12,1
Q133507,36,28,8,30,5
Q334739,42,33,9,33,6
Q313215,12,7,5,12,4
Q126689,16,11,5,13,4
Q206238,142,140,2,105,9
Q721295,10,7,3,9,3
Q313219,16,2,14,15,8
Q26835883,12,0,12,12,8
Q350258,4,4,0,4,1
Q114685996,2,0,2,2,2
Q4428768,16,16,0,16,2
Q977435,22,22,0,18,3
Q126778,24,23,1,19,1
Q717814,6,6,0,5,2
Q127170,23,21,2,20,5
Q463934,10,8,2,9,2
Q41370,19,0,19,18,13
Q313214,23,14,9,18,7
Q313221,1,0,1,1,1
Q313225,63,59,4,53,6
Q104536612,2,0,2,2,1
Q17012506,3,0,3,3,1
Q313224,1,0,1,1,1
Q114841071,1,0,1,1,1
Q44203,3,0,3,3,1
Q133520484,1,1,0,1,1
Q313230,1,0,0,1,1
Q6176487,3,3,0,2,1
Q124149671,2,0,2,2,1
Q334729,13,7,6,12,3
Q4202829,1,1,0,1,1
Q313229,32,23,9,27,4
Q2194240,11,11,0,10,2
Q124129541,1,1,0,1,1
Q8071446,1,0,1,1,1
Q133760827,3,3,0,3,2
Q133815999,1,0,1,1,1
Q133760684,3,3,0,3,2
Q137824425,1,0,1,1,1
Q313237,19,15,4,18,4
Q816398,4,4,0,3,1
Q334736,24,20,4,19,2
Q313232,9,7,2,9,3
Q9181,1,0,1,1,1
Q671872,1,0,1,1,1
Q289957,3,0,3,2,2
Q20502568,1,0,1,1,1
Q9077,6,0,6,6,4
Q313216,14,6,8,14,2
Q334726,4,4,0,4,2
Q20502646,1,0,1,1,1
Q109920,8,6,2,8,2
Q334748,4,4,0,4,1
Q16947750,3,0,3,3,1
Q313212,8,7,1,8,1
Q114906601,2,0,2,2,1
Q210074,7,7,0,6,2
Q334756,4,4,0,4,1
Q334744,11,9,2,9,2
Q114906785,7,0,7,7,2
Q131839413,1,1,0,1,1
Q131839428,1,1,0,1,1
Q319038,10,9,1,8,3
Q124309504,4,0,4,4,3
Q137824550,1,0,1,1,1
Q878947,4,4,0,4,2
Q30914,19,15,4,17,5
Q104898031,4,4,0,4,1
Q244912,50,49,1,46,5
Q310640,8,8,0,6,2
Q3603705,1,0,1,1,1
Q123167260,1,0,1,1,1
Q207140,29,29,0,23,3
Q2920137,8,8,0,8,2
Q9252684,4,4,0,4,2
Q130270587,3,0,3,3,1
Q18191851,3,3,0,3,1
Q130243561,2,0,2,2,1
Q188794,13,13,0,13,2
Q4748020,3,0,3,3,2
Q638342,1,1,0,1,1
Q76383242,1,1,0,1,1
Q193912,1,1,0,1,1
Q12591,23,22,1,20,3
Q156328,13,9,4,13,4
Q114771167,1,0,1,1,1
Q37085,4,0,4,4,4
Q313423,6,5,1,5,1
Q114995259,1,0,1,1,1
Q115804881,1,0,1,1,1
Q313228,29,27,2,27,3
Q135454571,1,0,1,1,1
Q135454557,1,0,1,1,1
Q2904866,8,8,0,6,1
Q9641178,1,0,1,1,1
Q137825058,1,0,1,1,1
Q3276278,7,7,0,7,2
Q4695108,3,2,1,3,2
Q123165967,2,2,0,2,1
Q4803405,2,2,0,2,1
Q583207,2,2,0,2,1
Q140312440,1,0,1,1,1
Q133830235,1,0,1,1,1
Q125477325,1,0,1,1,1
Q6968837,1,0,1,1,1
Q336832,4,4,0,4,1
Q16573951,2,0,2,2,2
Q319034,11,11,0,8,2
Q30527376,1,0,1,1,1
Q20101444,1,0,1,1,1
Q319049,11,9,2,9,2
Q20502297,2,1,1,2,1
Q184273,10,10,0,9,2
Q6903514,7,7,0,7,1
Q18192237,1,1,0,1,1
Q133829336,1,1,0,1,1
Q1497453,5,5,0,4,1
Q2903835,2,2,0,2,1
Q124344879,2,0,2,2,1
Q126008957,1,1,0,1,1
Q124310229,1,0,1,1,1
Q313234,1,1,0,1,1
