qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q28730,79,0,79,13,13
Q41370,506,492,14,24,24
Q74891,20,0,20,4,4
Q400266,2,2,0,2,2
Q4416778,2,2,0,2,2
Q1709507,2,0,2,2,2
Q1133337,45,41,4,3,3
Q132145387,6,0,6,2,2
Q313238,17,16,1,3,3
Q1141064,108,106,2,13,13
Q196771,14,0,14,10,10
Q2915076,15,12,3,3,3
Q1154317,15,15,0,9,9
Q361636,30,29,1,2,2
Q2418113,1,1,0,1,1
Q205372,108,92,16,9,9
Q11765188,1,1,0,1,1
Q33026733,2,1,1,2,2
Q360378,1,1,0,1,1
Q5638717,1,1,0,1,1
Q9351247,1,1,0,1,1
Q33026741,1,1,0,1,1
Q11727237,1,1,0,1,1
Q12630462,1,1,0,1,1
Q2899077,6,6,0,2,2
Q132154410,4,0,4,2,2
Q1341397,8,8,0,2,2
Q7128770,2,2,0,1,1
Q106096033,1,0,1,1,1
Q132166836,5,5,0,1,1
Q851686,24,22,2,5,5
Q467115,1,1,0,1,1
Q133263412,1,1,0,1,1
Q9352021,1,1,0,1,1
Q3437128,1,1,0,1,1
Q37085,4,4,0,2,2
Q5984013,1,1,0,1,1
Q132170354,1,1,0,1,1
Q133258642,1,1,0,1,1
Q128310030,1,1,0,1,1
Q18246454,1,1,0,1,1
Q9252681,1,1,0,1,1
Q132170591,1,1,0,1,1
Q4331914,4,4,0,1,1
Q138713515,2,2,0,1,1
Q97171041,1,0,1,1,1
Q319116,11,11,0,2,2
Q97172306,3,0,3,2,2
Q7828518,2,2,0,1,1
Q124098203,2,2,0,1,1
Q20502574,2,2,0,2,2
Q132156345,2,0,2,2,2
Q140100,13,9,4,6,6
Q109376137,1,0,1,1,1
Q124385844,1,1,0,1,1
Q816667,5,5,0,3,3
Q124375125,4,0,4,3,3
Q8071402,17,17,0,3,3
Q18222843,3,3,0,2,2
Q125912709,3,0,3,2,2
Q6959218,5,1,4,1,1
Q3334052,5,5,0,1,1
Q133264893,2,2,0,1,1
Q272277,11,11,0,2,2
Q13408496,1,0,1,1,1
Q71267,26,18,8,3,3
Q2917173,18,18,0,1,1
Q6271831,5,5,0,1,1
Q16130530,3,0,3,2,2
Q132155850,1,0,1,1,1
Q30148909,1,1,0,1,1
Q400294,18,18,0,4,4
Q11714286,7,7,0,2,2
Q321804,8,7,1,4,4
Q2904547,13,13,0,3,3
Q20502598,6,6,0,2,2
Q5949258,9,9,0,3,3
Q6978950,11,11,0,2,2
Q123121449,3,0,3,2,2
Q2689456,14,14,0,3,3
Q133259093,1,0,1,1,1
Q139883971,1,1,0,1,1
Q145746,1,0,1,1,1
Q6710215,9,9,0,1,1
Q30526936,3,3,0,1,1
Q2627537,10,10,0,1,1
Q106079707,8,0,8,1,1
Q45090,2,0,2,2,2
Q8027483,6,6,0,1,1
Q4057937,1,1,0,1,1
Q133265025,1,1,0,1,1
Q40326679,1,1,0,1,1
Q2825091,1,1,0,1,1
Q140047278,1,0,1,1,1
Q2915270,1,0,1,1,1
Q120758253,1,1,0,1,1
Q2131345,4,0,4,1,1
Q133268748,1,1,0,1,1
Q140420066,1,1,0,1,1
Q5360135,1,1,0,1,1
Q133256890,1,0,1,1,1
Q192785,1,0,1,1,1
Q289957,1,0,1,1,1
Q5354450,2,2,0,1,1
Q134699442,1,0,1,1,1
Q10367361,3,3,0,1,1
Q132157007,1,0,1,1,1
Q140488443,1,1,0,1,1
Q132165535,1,1,0,1,1
Q125478944,1,1,0,1,1
Q133269048,1,1,0,1,1
Q65303361,1,1,0,1,1
Q65303236,1,1,0,1,1
Q133263354,1,0,1,1,1
Q140254618,1,1,0,1,1
Q65303219,1,1,0,1,1
Q65302924,1,1,0,1,1
Q65302982,1,1,0,1,1
Q63555948,1,1,0,1,1
Q133257574,1,0,1,1,1
Q65302941,1,1,0,1,1
Q140288237,1,0,1,1,1
Q65303128,1,1,0,1,1
Q8183672,1,0,1,1,1
Q65303121,1,1,0,1,1
Q132166507,1,1,0,1,1
Q10343349,1,1,0,1,1
Q20788369,1,1,0,1,1
Q65302996,1,1,0,1,1
Q62029455,1,1,0,1,1
Q124315798,1,1,0,1,1
Q2559051,5,5,0,1,1
Q2910439,6,4,2,1,1
