qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q9200,1,1,0,1,1
Q302,13,0,13,12,4
Q212647,1,1,0,1,1
Q25344412,1,0,1,1,1
Q1373978,1,0,1,1,1
Q130218125,1,1,0,1,1
Q97166693,1,1,0,1,1
Q164212,3,2,1,3,2
Q41370,1,0,1,1,1
Q16199754,1,1,0,1,1
Q21582214,1,0,1,1,1
Q21582218,1,0,1,1,1
Q9077,1,0,1,1,1
Q1185201,1,1,0,1,1
Q981729,1,1,0,1,1
Q320136,1,1,0,1,1
Q128538,1,1,0,1,1
Q1396807,1,1,0,1,1
Q106310727,1,1,0,1,1
Q22661413,1,1,0,1,1
Q46512139,1,1,0,1,1
Q1348146,1,1,0,1,1
Q4207124,1,1,0,1,1
Q130218054,1,1,0,1,1
Q130218293,1,1,0,1,1
Q129653205,1,1,0,1,1
