qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q9077,38,33,5,9,9
Q887987,12,9,3,6,6
Q878675,10,7,3,5,5
Q9181,7,0,7,6,6
Q671872,7,0,7,6,6
Q289957,14,0,9,10,10
Q2650721,1,1,0,1,1
Q126178411,1,1,0,1,1
Q922184,2,2,0,1,1
Q126087472,1,1,0,1,1
Q7734,11,11,0,5,5
Q126083819,1,1,0,1,1
Q125510439,1,1,0,1,1
Q125510705,1,1,0,1,1
Q125912635,1,1,0,1,1
Q126178728,1,1,0,1,1
Q1703736,1,1,0,1,1
Q104412955,1,1,0,1,1
Q11927454,1,0,1,1,1
Q3344859,4,0,4,4,4
Q220822,6,0,6,1,1
Q40574,2,0,2,1,1
Q1056931,4,0,1,3,3
Q85854026,1,1,0,1,1
Q1812268,1,0,1,1,1
Q51676,4,0,4,3,3
Q159443,1,0,1,1,1
Q215512,9,0,5,6,6
Q2238834,1,0,1,1,1
Q9560907,1,0,1,1,1
Q65128117,1,0,1,1,1
Q574641,2,0,2,1,1
Q124759404,1,0,1,1,1
Q1773005,1,0,0,1,1
Q282220,3,0,0,2,2
Q651256,2,0,0,2,2
Q145746,3,0,0,2,2
Q460763,2,0,1,2,2
Q625661,2,0,0,2,2
Q851749,3,0,0,2,2
Q1775026,3,0,0,2,2
Q614575,3,0,0,2,2
Q550869,3,0,0,2,2
Q1771963,3,0,0,2,2
Q203251,1,0,0,1,1
