qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q129165,126,126,0,10,10
Q1889603,10,7,3,2,2
Q1917635,1,1,0,1,1
Q6578364,2,2,0,2,2
Q859753,1,1,0,1,1
Q304781,1,1,0,1,1
Q2274631,1,1,0,1,1
Q115859316,1,1,0,1,1
Q123754572,2,2,0,1,1
Q123754610,2,2,0,1,1
Q123754589,2,2,0,1,1
Q123569643,2,2,0,1,1
Q137798754,2,2,0,1,1
Q137798757,2,2,0,1,1
Q10328578,4,4,0,1,1
Q5698294,4,4,0,1,1
Q1136380,60,60,0,9,9
Q85853547,1,0,1,1,1
Q123128651,1,0,1,1,1
Q123128660,1,0,1,1,1
Q12591,1,0,1,1,1
Q319049,1,0,1,1,1
Q732413,53,53,0,7,7
Q131840721,3,1,2,2,2
Q133500750,1,1,0,1,1
Q2776580,3,2,1,2,2
Q137798776,3,2,1,2,2
Q650680,51,45,6,7,7
Q1424200,5,0,5,3,3
Q6542762,5,5,0,1,1
Q939384,4,4,0,2,2
Q138973522,1,1,0,1,1
Q138840184,1,1,0,1,1
Q138845284,1,1,0,1,1
Q138839979,1,1,0,1,1
Q133538725,1,1,0,1,1
