qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q289957,12,0,12,12,8
Q625661,12,0,10,11,4
Q1773005,12,0,10,11,4
Q215512,13,0,11,12,5
Q282220,13,0,11,13,6
Q651256,10,0,8,10,3
Q614575,10,0,8,10,3
Q460763,10,0,8,10,3
Q550869,13,0,11,13,6
Q1771963,10,0,8,10,3
Q851749,10,0,8,10,3
Q1775026,10,0,8,10,3
Q145746,14,0,12,13,4
Q141453395,15,10,5,14,2
Q767434,4,4,0,3,1
Q21959799,4,4,0,3,1
Q477527,4,4,0,3,2
Q594805,4,4,0,4,2
Q9077,313,313,0,286,31
Q1873244,5,5,0,5,1
Q62788,23,23,0,19,4
Q205523,6,6,0,6,3
Q1514983,7,7,0,5,3
Q9181,9,0,9,9,6
Q671872,9,0,9,9,6
Q141450111,114,107,7,105,14
Q51676,119,117,2,114,25
Q1195680,5,5,0,5,2
Q20757870,1,1,0,1,1
Q65128328,1,1,0,1,1
Q85853423,1,1,0,1,1
Q85853675,1,1,0,1,1
Q24954387,1,1,0,1,1
Q11716821,1,1,0,1,1
Q65124128,1,1,0,1,1
Q18088109,1,1,0,1,1
Q65124445,1,1,0,1,1
Q65125957,1,1,0,1,1
Q2915121,2,2,0,2,1
Q2914557,3,3,0,2,1
Q2670550,2,2,0,2,1
Q85853840,1,1,0,1,1
Q3482128,1,1,0,1,1
Q2210407,2,2,0,2,1
Q1800542,1,1,0,1,1
Q4207606,2,2,0,2,1
Q85854044,1,1,0,1,1
Q85854187,1,1,0,1,1
Q1337316,2,2,0,2,1
Q125566789,1,1,0,1,1
Q125749992,1,1,0,1,1
Q110158985,1,1,0,1,1
Q6533529,1,1,0,1,1
Q125747962,1,1,0,1,1
Q2916801,1,1,0,1,1
Q2038223,1,1,0,1,1
Q1784980,1,1,0,1,1
Q1941782,29,29,0,27,7
Q321166,29,29,0,27,7
Q159443,28,28,0,26,6
Q1675214,27,27,0,25,6
Q125499036,1,1,0,1,1
Q125504223,1,1,0,1,1
Q11684128,1,1,0,1,1
Q123118736,1,1,0,1,1
Q117865594,1,1,0,1,1
Q128063,1,1,0,1,1
Q1938388,2,2,0,2,1
Q7734,7,7,0,7,4
Q492665,5,2,3,5,4
Q853439,8,8,0,8,6
Q66919839,3,0,3,3,3
Q2112850,5,5,0,5,4
Q125480519,3,0,3,3,3
Q3344859,1,0,1,1,1
