qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q8423,13,5,8,12,5
Q158825,1,0,1,1,1
Q12591,5,0,5,5,4
Q55649336,1,1,0,1,1
Q94258346,4,2,2,4,2
Q320139,6,6,0,6,4
Q6884731,1,1,0,1,1
Q139600850,1,1,0,1,1
Q1577528,3,0,3,3,3
Q138782353,1,0,1,1,1
Q7124538,2,0,2,2,2
Q138862840,3,0,3,3,3
Q139008708,1,0,1,1,1
Q139602752,1,0,1,1,1
Q65303005,4,0,4,3,3
Q139575116,1,0,1,1,1
Q139075889,1,0,1,1,1
Q138943655,1,1,0,1,1
Q43280403,2,0,2,2,2
Q139115091,1,0,1,1,1
Q139678428,1,0,1,1,1
Q138713763,1,0,1,1,1
Q139890037,1,0,1,1,1
Q138834645,1,0,1,1,1
Q139691790,1,0,1,1,1
Q139832356,1,0,1,1,1
Q138713779,1,0,1,1,1
Q140312286,1,0,1,1,1
Q138713964,1,0,1,1,1
Q138973384,1,0,1,1,1
Q139601184,1,0,1,1,1
Q140133508,1,0,1,1,1
Q139969310,1,0,1,1,1
Q139780600,1,0,1,1,1
Q139592150,1,0,1,1,1
Q37085,2,0,2,2,1
Q139741904,1,0,1,1,1
Q140030834,1,0,1,1,1
Q138721677,1,0,1,1,1
Q139571166,1,0,1,1,1
Q140047323,1,0,1,1,1
Q6710215,1,0,1,1,1
Q783824,6,5,1,6,4
Q6176509,4,0,4,4,3
Q2256348,3,0,3,3,2
Q9077,2,0,2,2,2
Q41370,2,0,2,2,2
Q193912,1,0,1,1,1
Q44387,15,11,4,14,3
Q129165,1,0,1,1,1
Q189689,25,16,9,23,3
Q104783764,1,1,0,1,1
Q131782870,4,4,0,4,1
Q136374598,4,4,0,4,1
Q171191,1,0,1,1,1
Q1613144,2,2,0,2,2
Q1641601,4,4,0,4,2
Q56433512,4,4,0,4,2
Q191787,15,15,0,14,2
Q18192237,1,0,1,1,1
Q108612981,1,0,1,1,1
Q3276278,1,0,1,1,1
Q114905078,1,0,1,1,1
Q114905239,1,0,1,1,1
Q115738592,1,0,1,1,1
Q115738659,1,0,1,1,1
Q1989339,1,0,1,1,1
Q2603903,1,0,1,1,1
Q114681466,1,0,1,1,1
Q28665879,1,0,1,1,1
Q2836764,1,0,1,1,1
Q2338482,1,0,1,1,1
Q128063,1,0,1,1,1
Q159443,1,0,1,1,1
Q51676,1,0,1,1,1
Q140158813,1,0,1,1,1
Q138769656,1,1,0,1,1
Q138836624,1,0,1,1,1
Q140158822,1,1,0,1,1
Q61895312,1,1,0,1,1
Q139292947,1,0,1,1,1
Q138862830,1,1,0,1,1
Q140130891,1,1,0,1,1
Q138771285,1,1,0,1,1
Q140053892,1,1,0,1,1
Q139268203,1,1,0,1,1
Q138863157,1,1,0,1,1
Q138845234,1,1,0,1,1
Q138771771,1,1,0,1,1
Q140184305,2,2,0,2,1
Q85854044,1,0,1,1,1
Q215512,1,0,1,1,1
Q2670550,1,0,1,1,1
Q139104404,1,0,1,1,1
Q5354451,1,1,0,1,1
Q140158844,1,1,0,1,1
Q138950701,1,0,1,1,1
Q139585866,1,0,1,1,1
Q140320796,1,1,0,1,1
Q138862838,1,1,0,1,1
Q140053938,1,1,0,1,1
Q139269104,1,1,0,1,1
Q139963579,1,1,0,1,1
Q140312907,1,1,0,1,1
Q139592569,1,1,0,1,1
Q139488808,1,1,0,1,1
Q140303575,1,1,0,1,1
Q138771951,1,1,0,1,1
Q123165801,1,1,0,1,1
Q138848751,1,1,0,1,1
Q139575318,1,1,0,1,1
Q8063457,1,1,0,1,1
Q139297405,1,1,0,1,1
Q138634837,1,1,0,1,1
Q140248039,1,1,0,1,1
Q138706939,1,1,0,1,1
Q140303648,1,1,0,1,1
Q140053948,1,1,0,1,1
Q139931507,1,1,0,1,1
Q140316285,1,1,0,1,1
Q140042772,1,1,0,1,1
Q138848768,1,1,0,1,1
Q139963567,1,1,0,1,1
Q123168995,1,0,1,1,1
Q123168982,1,1,0,1,1
Q139495844,1,1,0,1,1
Q140303687,1,1,0,1,1
Q14925218,1,0,1,1,1
Q139963558,1,1,0,1,1
Q139693986,1,1,0,1,1
Q140131794,1,1,0,1,1
Q123148835,1,1,0,1,1
Q140277282,1,1,0,1,1
Q140288225,1,1,0,1,1
Q139383580,1,1,0,1,1
Q140131733,1,1,0,1,1
Q140042780,1,1,0,1,1
Q140312919,1,1,0,1,1
Q138721030,1,1,0,1,1
Q138848774,1,1,0,1,1
Q139008353,1,1,0,1,1
Q140303735,1,1,0,1,1
