qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q70899,30,30,0,4,4
Q830183,17,17,0,3,3
Q205365,19,16,3,1,1
Q313421,11,10,1,1,1
Q134373856,1,1,0,1,1
Q2495184,3,3,0,1,1
Q3364264,2,2,0,1,1
Q10329365,2,2,0,1,1
Q10329289,2,2,0,1,1
Q155852,5,4,1,1,1
Q1809123,5,5,0,1,1
Q203082,5,5,0,1,1
Q1676803,1,1,0,1,1
Q1432204,1,1,0,1,1
Q1356181,2,2,0,1,1
Q1542154,2,2,0,1,1
Q107626,8,8,0,2,2
Q682531,6,6,0,2,2
Q844433,5,5,0,1,1
Q10297002,5,5,0,1,1
Q927410,5,5,0,1,1
Q213027,6,6,0,1,1
Q156290,5,5,0,1,1
Q10921342,5,5,0,1,1
Q81422,45,44,1,6,6
Q200902,25,23,2,7,7
Q229702,18,16,2,6,6
Q200637,18,15,3,6,6
Q107442921,3,3,0,3,3
Q204797,8,7,0,2,2
Q1148172,2,2,0,1,1
Q1964706,1,1,0,1,1
Q1790796,1,1,0,1,1
Q1684266,2,2,0,1,1
Q1481766,1,1,0,1,1
Q30973,1,1,0,1,1
Q1481751,1,1,0,1,1
Q722770,1,1,0,1,1
Q2918052,1,1,0,1,1
Q1068499,1,1,0,1,1
Q1330627,1,1,0,1,1
Q125487467,1,1,0,1,1
Q1138595,3,3,0,1,1
Q1369215,2,2,0,1,1
Q946939,1,1,0,1,1
Q23639444,1,1,0,1,1
Q32945196,1,1,0,1,1
Q13143737,1,1,0,1,1
Q3085764,2,2,0,1,1
Q124169540,1,1,0,1,1
Q125399193,1,1,0,1,1
Q124305605,1,1,0,1,1
Q201861,2,2,0,1,1
Q3541553,2,1,0,1,1
Q502282,7,6,1,2,2
Q1147704,1,1,0,1,1
Q2426606,1,1,0,1,1
Q457520,6,6,0,2,2
Q1815870,1,1,0,1,1
Q625667,2,2,0,1,1
Q2558734,1,1,0,1,1
Q2898616,1,1,0,1,1
Q2910407,1,1,0,1,1
Q13418757,1,1,0,1,1
Q1827950,6,6,0,2,2
Q1648259,5,5,0,2,2
Q1553059,3,3,0,1,1
Q2905798,1,1,0,1,1
Q7493584,1,1,0,1,1
Q2905463,1,1,0,1,1
Q18276083,1,1,0,1,1
Q5638029,1,1,0,1,1
Q7904500,1,1,0,1,1
Q63433898,1,1,0,1,1
Q115760490,1,1,0,1,1
Q14925390,1,1,0,1,1
Q138636936,1,1,0,1,1
Q125345983,1,1,0,1,1
Q138636935,1,1,0,1,1
Q44123555,1,1,0,1,1
Q2040793,4,4,0,1,1
Q1161313,4,4,0,1,1
Q888890,4,4,0,1,1
Q586541,11,11,0,3,3
Q9181,233,179,54,23,23
Q6323112,14,7,7,5,5
Q1199156,6,5,1,1,1
Q40574,41,40,1,5,5
Q194808,63,56,7,12,12
Q1752707,8,5,3,3,3
Q6079192,1,1,0,1,1
Q2844493,5,5,0,1,1
Q2712606,5,5,0,1,1
Q2118973,7,7,0,1,1
Q7800767,5,5,0,1,1
Q4890957,7,7,0,1,1
Q106079868,4,4,0,1,1
Q9351421,3,3,0,1,1
Q125415429,3,3,0,1,1
Q125295074,2,2,0,1,1
Q125022203,2,1,1,1,1
Q124541960,2,1,1,1,1
Q219395,2,2,0,1,1
Q14933103,1,1,0,1,1
Q214617,23,23,0,3,3
Q183403,32,29,3,6,6
Q671872,134,115,19,16,16
Q109496487,10,10,0,1,1
Q109496488,10,10,0,1,1
Q2575060,3,3,0,1,1
Q1585141,1,1,0,1,1
Q9168580,1,1,0,1,1
Q1343803,20,20,0,2,2
Q10282102,3,3,0,2,2
Q47010789,2,2,0,1,1
Q114056663,2,2,0,1,1
Q11944206,2,2,0,1,1
Q138782434,1,0,1,1,1
Q114056787,2,2,0,1,1
Q114056831,2,2,0,1,1
Q125072190,2,2,0,1,1
Q125188731,2,2,0,1,1
Q1579827,11,5,6,4,4
Q40520,49,45,4,9,9
Q108773808,2,2,0,1,1
Q14923275,1,1,0,1,1
Q125150030,1,1,0,1,1
Q125484379,1,1,0,1,1
Q125295940,1,1,0,1,1
Q6775384,11,8,3,4,4
Q138714970,2,0,2,2,2
Q840401,69,64,5,9,9
Q2903219,2,2,0,2,2
Q908531,2,2,0,1,1
Q786540,1,1,0,1,1
Q737548,2,2,0,1,1
Q1212757,1,1,0,1,1
Q755316,2,2,0,1,1
Q594903,1,1,0,1,1
Q369850,1,1,0,1,1
Q9332549,1,1,0,1,1
Q124819618,2,2,0,1,1
Q5382125,1,1,0,1,1
Q5382171,1,1,0,1,1
Q108207665,1,1,0,1,1
Q3314892,1,1,0,1,1
Q124325068,1,1,0,1,1
Q3773487,3,3,0,3,3
Q21087985,1,1,0,1,1
Q24238724,1,1,0,1,1
Q14925213,1,1,0,1,1
Q20101216,1,1,0,1,1
Q5313606,1,1,0,1,1
Q21087988,1,1,0,1,1
Q22004334,1,1,0,1,1
Q20101919,1,1,0,1,1
Q11927540,1,1,0,1,1
Q10335361,1,1,0,1,1
Q11944201,1,1,0,1,1
Q289957,335,329,4,22,22
Q220822,90,87,3,8,8
Q16142336,7,7,0,1,1
Q125345108,1,1,0,1,1
Q3187975,1,1,0,1,1
Q124751781,1,0,1,1,1
Q3320047,6,6,0,2,2
Q65252558,2,0,2,2,2
Q2669401,1,1,0,1,1
Q207389,62,55,7,11,11
Q128847,48,47,1,9,9
Q221826,14,13,1,8,8
Q794991,16,14,2,8,8
Q625661,85,84,1,18,18
Q1773005,76,75,1,17,17
Q215512,74,73,1,17,17
Q282220,97,96,1,17,17
Q550869,73,72,1,17,17
Q1771963,73,72,1,17,17
Q851749,73,72,1,17,17
Q1775026,73,72,1,17,17
Q651256,73,72,1,17,17
Q614575,73,72,1,17,17
Q122035,23,22,1,5,5
Q145746,212,210,2,19,19
Q1573937,10,10,0,2,2
Q22054796,15,15,0,2,2
Q460763,100,98,2,12,12
Q104901768,5,5,0,1,1
Q2344483,6,6,0,1,1
Q42532204,7,3,4,1,1
Q2899130,6,6,0,1,1
Q32979741,5,5,0,1,1
Q10306885,3,3,0,1,1
Q125263542,3,3,0,1,1
Q85774893,3,3,0,1,1
Q134715631,2,2,0,1,1
Q7089609,2,2,0,1,1
Q8069299,2,2,0,1,1
Q106145044,2,2,0,1,1
Q114627203,2,2,0,1,1
Q32979730,1,1,0,1,1
Q108487406,2,2,0,1,1
Q108487424,2,2,0,1,1
Q114627891,2,2,0,1,1
Q6884915,2,2,0,1,1
Q42532277,2,2,0,1,1
Q6684617,4,4,0,1,1
Q125423902,3,3,0,1,1
Q124820244,3,3,0,1,1
Q10274802,3,3,0,1,1
Q124820697,3,3,0,1,1
Q55120394,1,1,0,1,1
Q106084820,1,1,0,1,1
Q124552466,1,1,0,1,1
Q125315789,1,1,0,1,1
Q125045346,1,1,0,1,1
Q138580874,1,1,0,1,1
Q138580877,1,1,0,1,1
Q124821119,1,1,0,1,1
Q124556126,1,1,0,1,1
Q125038626,1,1,0,1,1
Q125263780,1,1,0,1,1
Q138580889,1,1,0,1,1
Q125498533,1,1,0,1,1
Q138580891,1,1,0,1,1
Q124556347,1,1,0,1,1
Q4081479,2,2,0,1,1
Q124759391,1,1,0,1,1
Q6206768,2,2,0,1,1
Q138780026,1,0,1,1,1
Q5949264,2,2,0,1,1
Q5637556,2,2,0,1,1
Q124759472,1,1,0,1,1
Q7409616,2,2,0,1,1
Q138580913,2,2,0,1,1
Q5717054,2,2,0,1,1
Q135454512,2,2,0,1,1
Q134468308,1,1,0,1,1
Q93697104,1,1,0,1,1
Q125271641,1,1,0,1,1
Q125316367,1,1,0,1,1
Q138710420,1,0,1,1,1
Q5353134,1,0,1,1,1
Q125264444,1,1,0,1,1
Q1148687,14,14,0,2,2
Q65238144,4,4,0,1,1
Q6940768,2,2,0,1,1
Q30226376,2,2,0,1,1
Q1347943,10,10,0,2,2
Q661074,7,7,0,2,2
Q1294423,5,5,0,2,2
Q1030008,10,10,0,1,1
Q1814684,3,3,0,2,2
Q3223065,3,3,0,2,2
Q3860078,6,6,0,1,1
Q723681,3,3,0,2,2
Q7234956,3,3,0,2,2
Q1056931,17,17,0,4,4
Q203251,18,18,0,4,4
Q20757870,1,1,0,1,1
Q65128328,1,1,0,1,1
Q85853423,1,1,0,1,1
Q85853675,1,1,0,1,1
Q24954387,1,1,0,1,1
Q11716821,1,1,0,1,1
Q65124128,1,1,0,1,1
Q18088109,1,1,0,1,1
Q65124445,1,1,0,1,1
Q65125957,1,1,0,1,1
Q2915121,1,1,0,1,1
