qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q302,44,0,44,41,13
Q9181,14,0,14,14,4
Q9077,12,0,12,12,7
Q7734,1,0,1,1,1
Q51676,3,0,3,3,3
Q219395,11,0,11,11,3
Q2118973,1,0,1,1,1
Q2844493,1,0,1,1,1
Q2712606,1,0,1,1,1
Q7800767,1,0,1,1,1
Q215512,4,0,3,4,1
Q282220,1,0,0,1,1
Q313421,2,0,2,2,2
Q205365,1,0,1,1,1
Q213027,1,0,1,1,1
Q81422,1,0,1,1,1
Q671872,6,0,6,6,1
Q289957,3,0,3,3,1
Q194808,1,0,1,1,1
Q220822,2,0,2,2,2
Q1056931,1,0,1,1,1
Q203251,1,0,1,1,1
Q145746,2,0,2,2,1
Q1135632,1,0,1,1,1
Q176125,1,0,1,1,1
Q807236,1,0,1,1,1
Q214648,1,0,1,1,1
Q1133523,1,0,1,1,1
Q41370,1,0,1,1,1
Q6577515,1,0,1,1,1
Q212647,1,1,0,1,1
