qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q188794,18,18,0,17,8
Q4748020,7,0,7,7,6
Q313216,3,2,1,3,3
Q109920,2,1,1,2,2
Q30914,8,7,1,8,4
Q244912,37,37,0,34,5
Q289957,44,0,21,42,23
Q878947,6,6,0,5,3
Q334744,6,6,0,5,2
Q114906785,5,0,5,5,2
Q41370,10,0,10,10,8
Q18192190,1,1,0,1,1
Q345,1,0,1,1,1
Q302,16,0,16,8,6
Q124219534,1,1,0,1,1
Q134721755,1,0,1,1,1
Q2903829,3,3,0,2,1
Q107437473,1,0,1,1,1
Q28730,1,0,1,1,1
Q45090,2,0,2,2,1
Q208336,3,0,3,3,1
Q7492261,2,2,0,2,1
Q9252684,5,5,0,5,3
Q130270587,3,0,3,3,2
Q9181,4,0,4,4,4
Q207140,26,26,0,21,3
Q2920137,8,8,0,8,2
Q18191851,3,3,0,3,1
Q130243561,2,0,2,2,1
Q638342,1,1,0,1,1
Q76383242,1,1,0,1,1
Q193912,1,1,0,1,1
Q356505,1,1,0,1,1
Q130266607,1,0,1,1,1
Q40662,1,0,1,1,1
Q8423,3,0,3,3,2
Q194808,1,0,1,1,1
Q81422,2,0,2,1,1
Q9077,2,0,2,2,1
