qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q7734,6,3,3,2,2
Q2229049,3,3,0,1,1
Q16882450,2,2,0,1,1
Q120727077,2,2,0,1,1
Q120727174,2,2,0,1,1
Q922184,8,6,2,2,2
Q2829011,3,3,0,1,1
Q536485,5,5,0,2,2
Q137755683,3,0,3,2,2
Q62788,1,0,1,1,1
Q9077,4,0,4,3,3
Q3344859,1,0,1,1,1
Q5118345,2,2,0,1,1
Q2662239,9,9,0,1,1
Q1300996,12,12,0,2,2
Q125152962,1,0,1,1,1
Q1516550,2,2,0,2,2
Q128792244,2,0,2,2,2
Q128566631,6,5,1,1,1
Q976765,18,17,1,2,2
Q213633,10,10,0,2,2
Q6488184,1,0,1,1,1
Q807236,11,11,0,2,2
Q4667882,4,0,4,2,2
Q13365793,5,1,4,2,2
Q954820,6,6,0,2,2
Q7530790,1,1,0,1,1
Q14925384,9,4,5,3,3
Q176125,72,59,13,4,4
Q128909611,2,2,0,1,1
Q107437473,5,4,1,2,2
Q5942568,5,5,0,2,2
Q107437432,10,10,0,1,1
Q107437434,10,10,0,1,1
Q113376196,1,1,0,1,1
Q480279,41,35,6,3,3
Q6294444,4,4,0,1,1
Q10287821,11,11,0,1,1
Q25768260,5,0,5,1,1
Q16944355,6,6,0,1,1
Q1573937,1,1,0,1,1
Q1516117,3,3,0,1,1
Q125146895,1,0,1,1,1
Q137757337,1,0,1,1,1
Q1143157,2,2,0,1,1
Q1133523,27,24,3,2,2
Q137757351,2,1,1,1,1
Q887987,4,0,4,1,1
Q1411953,1,0,1,1,1
Q126179308,1,0,1,1,1
Q16131373,2,1,1,1,1
Q645796,4,3,1,1,1
Q1333225,3,2,1,1,1
Q308320,2,2,0,1,1
Q128794244,2,0,2,1,1
Q221514,28,25,3,3,3
Q14579312,19,18,1,2,2
Q214648,50,47,3,4,4
Q937827,7,7,0,1,1
Q126367567,21,13,8,2,2
Q550869,1,0,1,1,1
Q289957,1,0,1,1,1
Q6272377,1,1,0,1,1
Q128063,1,1,0,1,1
Q159443,1,0,1,1,1
Q51676,1,0,1,1,1
