qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q158825,133,133,0,119,33
Q25796501,1,0,1,1,1
Q313228,18,0,18,16,11
Q313423,2,0,2,2,2
Q319034,38,22,16,34,13
Q184273,66,55,11,62,15
Q289957,17,0,6,14,8
Q460763,1,0,1,1,1
Q203251,1,0,1,1,1
Q41370,16,0,15,15,9
Q9077,1,0,1,1,1
Q6577515,1,0,1,1,1
Q156328,1,0,1,1,1
Q244912,4,0,4,3,2
Q124314518,5,5,0,3,1
Q124373418,1,0,1,1,1
Q12591,75,8,67,72,24
Q124334452,2,0,2,2,2
Q124333945,3,0,3,3,3
Q336832,1,0,1,1,1
Q319049,12,7,5,11,7
Q2804969,1,0,1,1,1
Q3206316,3,3,0,3,1
Q124382215,1,0,1,1,1
Q109023366,3,3,0,3,2
Q135454523,2,0,2,2,2
Q6644516,9,9,0,8,1
Q124255564,1,0,1,1,1
Q124306645,1,1,0,1,1
Q135335813,1,1,0,1,1
Q123344686,2,2,0,2,1
Q124304818,1,0,1,1,1
Q138720632,2,2,0,2,1
Q124290531,1,0,1,1,1
Q140053993,4,4,0,3,1
Q106546000,1,0,1,1,1
Q207389,1,0,1,1,1
Q135646994,1,0,1,1,1
Q11689901,4,3,1,4,1
Q124382772,1,0,1,1,1
Q599907,24,24,0,22,4
Q6996190,10,0,10,10,5
Q9181,1,0,1,1,1
Q671872,1,0,1,1,1
Q124256160,1,1,0,1,1
Q124315903,1,0,1,1,1
Q140312970,1,0,1,1,1
Q6663390,4,3,1,4,1
Q124309935,3,3,0,3,1
Q124305892,2,2,0,2,1
Q140054001,1,0,1,1,1
Q138720656,1,1,0,1,1
Q18191849,4,4,0,3,1
Q124346862,1,0,1,1,1
Q124383678,1,0,1,1,1
Q124385912,1,1,0,1,1
Q124306725,1,0,1,1,1
Q32979697,1,1,0,1,1
Q2613514,1,0,1,1,1
Q140131590,2,0,2,2,2
Q124316105,2,2,0,2,1
Q140131442,1,0,1,1,1
Q130280934,1,0,1,1,1
Q124316520,3,3,0,3,2
Q124386155,1,1,0,1,1
Q124334352,1,0,1,1,1
Q177617,6,6,0,6,2
Q86678325,2,2,0,2,1
Q131920039,1,1,0,1,1
Q6903514,17,15,2,16,5
Q1497453,22,20,2,22,4
Q4695108,15,0,15,15,4
Q2904866,6,0,6,6,4
Q2903835,22,22,0,18,2
Q124344879,14,0,14,14,2
Q6369174,13,0,13,13,4
Q140377305,1,1,0,1,1
Q124392739,1,0,1,1,1
Q124310316,1,0,1,1,1
Q126008957,1,1,0,1,1
Q104586577,1,0,1,1,1
Q124310229,1,0,1,1,1
Q313415,1,0,1,1,1
Q313224,1,0,1,1,1
Q124375387,2,0,2,2,2
Q220822,2,0,0,2,1
Q7452652,2,2,0,2,1
Q16573951,1,0,1,1,1
Q124123188,1,0,1,1,1
Q37085,1,0,1,1,1
Q313234,3,3,0,3,1
