qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q302,371,361,10,326,20
Q40662,22,22,0,21,5
Q9077,13,0,13,12,7
Q133507,2,0,2,2,1
Q188794,4,0,4,4,2
Q43399,9,9,0,8,3
Q33923,44,44,0,38,6
Q137699169,4,0,4,4,2
Q43675,14,14,0,14,4
Q1359769,6,6,0,6,2
Q128267,2,0,2,2,2
Q345,7,7,0,6,2
Q295084,5,5,0,5,3
Q289957,3,0,3,3,1
Q145746,1,0,1,1,1
Q43999,4,4,0,4,2
Q44015,16,16,0,14,5
Q43982,3,3,0,3,1
Q43600,3,3,0,3,1
Q43669,10,10,0,10,5
Q44047,3,3,0,3,1
Q43945,4,4,0,4,2
Q12871,3,3,0,3,1
Q81018,17,17,0,14,4
Q139830548,3,0,3,3,2
Q41370,2,0,2,1,1
Q9181,11,0,11,9,1
Q539890,21,21,0,21,2
Q239058,12,12,0,12,2
Q232453,11,11,0,11,2
Q211246,7,6,1,7,2
Q726674,3,2,1,2,1
Q51680,8,8,0,7,1
Q17131,23,23,0,22,2
Q313417,2,2,0,1,1
Q284623,1,1,0,1,1
Q355121,1,1,0,1,1
Q2979581,1,0,1,1,1
Q63070,7,7,0,7,2
Q271474,1,1,0,1,1
Q169363,1,0,1,1,1
