qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q1384449,1,1,0,1,1
Q51672,1,1,0,1,1
Q139464,15,14,1,15,2
Q235849,14,14,0,13,1
Q51676,1,0,1,1,1
Q81989,10,10,0,9,1
Q40662,38,33,5,36,7
Q133507,9,4,5,8,3
Q345,26,26,0,23,2
Q128267,13,11,2,12,4
Q41370,14,0,14,12,6
Q302,374,371,3,346,24
Q289957,4,0,4,4,4
Q9181,16,0,16,15,6
Q1405,1,1,0,1,1
Q313398,1,1,0,1,1
Q9077,11,4,7,10,5
Q345205,4,4,0,4,1
Q1774668,1,1,0,1,1
Q7180641,1,0,1,1,1
Q1407,1,0,1,1,1
Q17131,12,10,2,12,3
Q192950,15,11,4,14,5
Q345647,2,0,2,2,1
Q51680,1,0,1,1,1
Q211246,2,0,2,2,2
Q188794,2,0,2,2,2
Q230091,1,0,1,1,1
Q2474891,1,0,1,1,1
Q25668671,1,0,1,1,1
Q25668670,1,0,1,1,1
Q25668669,1,0,1,1,1
Q25668668,1,0,1,1,1
Q25668667,1,0,1,1,1
Q25668666,1,0,1,1,1
Q25668665,1,0,1,1,1
Q25668664,1,0,1,1,1
Q25668663,1,0,1,1,1
Q25668662,1,0,1,1,1
Q25668661,1,0,1,1,1
Q25668660,1,0,1,1,1
Q25668659,1,0,1,1,1
Q25668657,1,0,1,1,1
Q25668658,1,0,1,1,1
Q25668656,1,0,1,1,1
Q25668655,1,0,1,1,1
Q320139,1,0,1,1,1
Q2256348,1,0,1,1,1
Q25668652,1,0,1,1,1
Q25668653,1,0,1,1,1
Q25668651,1,0,1,1,1
Q25668650,1,0,1,1,1
Q25668649,1,0,1,1,1
Q25668648,1,0,1,1,1
Q25668647,1,0,1,1,1
Q25668646,1,0,1,1,1
Q25668645,1,0,1,1,1
Q25668644,1,0,1,1,1
Q25668642,1,0,1,1,1
Q25668643,1,0,1,1,1
Q10312716,1,0,1,1,1
Q25668640,1,0,1,1,1
Q25668639,1,0,1,1,1
Q11936413,1,0,1,1,1
Q25668638,1,0,1,1,1
Q11936480,1,0,1,1,1
Q19715666,1,0,1,1,1
Q3437128,1,0,1,1,1
Q45090,1,0,1,1,1
Q1135791,1,0,1,1,1
Q212253,1,0,1,1,1
Q1771358,1,0,1,1,1
Q1784980,1,0,1,1,1
Q2038223,1,0,1,1,1
Q114932684,1,0,1,1,1
Q114932946,1,0,1,1,1
Q4177234,1,0,1,1,1
Q1814684,1,0,1,1,1
Q282220,1,0,1,1,1
Q671872,3,0,3,3,3
Q586541,1,0,1,1,1
Q888890,1,0,1,1,1
Q1161313,1,0,1,1,1
Q2040793,1,0,1,1,1
Q1648259,1,0,1,1,1
Q502282,1,0,1,1,1
Q1827950,1,0,1,1,1
Q4208533,1,0,1,1,1
Q457520,1,0,1,1,1
Q200902,1,0,1,1,1
Q81422,3,0,3,3,2
Q10921342,1,0,1,1,1
Q156290,1,0,1,1,1
Q213027,1,0,1,1,1
Q927410,1,0,1,1,1
Q10297002,1,0,1,1,1
Q844433,1,0,1,1,1
Q682531,1,0,1,1,1
Q107626,1,0,1,1,1
Q70899,1,0,1,1,1
Q206238,1,0,1,1,1
Q126778,1,0,1,1,1
Q33923,47,47,0,44,10
Q23581940,1,1,0,1,1
Q43999,17,17,0,17,7
Q44015,20,20,0,20,7
Q169363,1,0,1,1,1
Q43600,14,14,0,14,7
Q43399,11,11,0,11,6
Q43675,11,11,0,11,6
Q43982,11,11,0,11,6
Q43669,11,11,0,11,6
Q44047,11,11,0,11,6
Q106075464,1,0,1,1,1
Q12871,11,11,0,11,6
Q43945,11,11,0,11,6
Q81018,13,13,0,11,5
Q63070,2,2,0,2,2
Q269889,2,2,0,2,2
Q106079959,1,1,0,1,1
Q4118707,1,1,0,1,1
Q42893947,6,6,0,5,1
Q325476,3,3,0,3,1
Q35363545,4,4,0,4,1
Q232453,4,4,0,3,1
Q239058,3,3,0,3,1
Q2468262,4,0,4,3,1
Q159888,1,0,1,1,1
Q37085,2,0,2,1,1
Q313421,1,0,1,1,1
Q2060131,1,0,1,1,1
Q40574,3,0,3,3,1
Q2575060,1,1,0,1,1
Q139792,4,4,0,4,1
Q726674,2,2,0,2,1
Q313417,3,3,0,3,1
Q328739,1,1,0,1,1
Q284623,1,1,0,1,1
Q355121,1,1,0,1,1
Q271474,1,1,0,1,1
Q711072,1,1,0,1,1
