qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q302,286,271,15,27,27
Q41370,18,0,18,7,7
Q9181,7,0,7,4,4
Q671872,4,0,4,3,3
Q289957,4,0,4,3,3
Q282220,2,0,2,1,1
Q1814684,2,0,2,1,1
Q3223065,1,0,1,1,1
Q1030008,1,0,1,1,1
Q4177234,2,0,2,1,1
Q1824842,2,0,2,1,1
Q2038223,2,0,2,1,1
Q1784980,2,0,2,1,1
Q1771358,2,0,2,1,1
Q212253,2,0,2,1,1
Q1135632,1,0,1,1,1
Q1135791,2,0,2,1,1
Q1774982,1,0,1,1,1
Q45090,2,0,2,1,1
Q37085,4,0,4,2,2
Q272277,1,0,1,1,1
Q71267,1,0,1,1,1
Q211663,2,0,2,1,1
Q273517,2,0,2,1,1
Q313415,2,0,2,1,1
Q126689,2,0,2,1,1
Q313215,2,0,2,1,1
Q313216,2,0,2,1,1
Q109920,2,0,2,1,1
Q30914,2,0,2,1,1
Q244912,2,0,2,1,1
Q156328,2,0,2,1,1
Q313423,2,0,2,1,1
Q313228,2,0,2,1,1
Q319049,2,0,2,1,1
Q2256348,2,0,2,1,1
Q320139,2,0,2,1,1
Q321170,2,0,2,1,1
Q12876922,2,0,2,1,1
Q11907447,2,0,2,1,1
Q18699268,2,0,2,1,1
Q11906322,2,0,2,1,1
Q18699272,2,0,2,1,1
Q18699300,2,0,2,1,1
Q11936164,2,0,2,1,1
Q11927082,2,0,2,1,1
Q128267,9,7,2,2,2
Q345,12,10,2,4,4
Q51672,9,7,2,1,1
Q158825,3,0,3,3,3
Q207389,1,0,0,1,1
Q244345,1,1,0,1,1
Q40662,31,15,16,8,8
Q188794,6,0,6,6,6
Q33923,39,36,3,12,12
Q43399,10,8,2,5,5
Q43999,18,13,5,7,7
Q169363,6,1,5,5,5
Q44015,17,13,4,7,7
Q9077,7,2,5,5,5
Q23581940,1,1,0,1,1
Q43600,12,10,2,5,5
Q43675,9,7,2,4,4
Q43982,9,7,2,4,4
Q43669,9,7,2,4,4
Q44047,9,7,2,4,4
Q43945,9,7,2,4,4
Q12871,9,7,2,4,4
Q81018,15,13,2,5,5
Q1542853,1,0,1,1,1
Q133507,9,2,4,4,4
Q2468262,5,0,5,2,2
Q159888,1,0,1,1,1
Q26925,2,0,2,2,2
Q2721201,2,0,2,2,2
Q3099259,1,0,1,1,1
Q2464332,1,0,1,1,1
Q192950,5,5,0,1,1
Q230091,4,3,1,1,1
Q345647,1,0,1,1,1
Q228896,2,2,0,1,1
Q137699169,1,0,1,1,1
Q233067,2,2,0,2,2
Q313421,1,0,1,1,1
Q604259,1,0,1,1,1
Q2060131,1,0,1,1,1
Q18238415,1,0,1,1,1
Q171724,1,0,1,1,1
Q81422,2,0,2,1,1
Q211246,2,2,0,1,1
Q718460,1,1,0,1,1
Q17131,12,12,0,1,1
Q313417,5,5,0,1,1
Q263459,1,1,0,1,1
Q328739,1,1,0,1,1
Q284623,1,1,0,1,1
Q355121,1,1,0,1,1
Q63070,3,3,0,2,2
Q235377,3,3,0,2,2
Q271474,2,2,0,1,1
