qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q302,301,298,3,16,16
Q188794,2,0,1,2,2
Q40662,23,18,5,5,5
Q33923,43,42,1,12,12
Q43399,17,17,0,10,10
Q43999,26,26,0,11,11
Q169363,4,1,3,3,3
Q44015,26,26,0,11,11
Q23581940,1,1,0,1,1
Q9077,9,2,7,5,5
Q41370,8,0,8,4,4
Q43675,14,14,0,8,8
Q43982,14,14,0,8,8
Q43600,14,14,0,8,8
Q43669,14,14,0,8,8
Q44047,14,14,0,8,8
Q43945,14,14,0,8,8
Q12871,14,14,0,8,8
Q81018,18,18,0,7,7
Q106075464,1,0,1,1,1
Q42893947,6,6,0,1,1
Q325476,4,4,0,1,1
Q35363545,8,8,0,1,1
Q345,1,0,1,1,1
Q192950,14,14,0,2,2
Q133507,9,2,4,4,4
Q230091,7,7,0,1,1
Q345647,2,0,2,1,1
Q228896,4,4,0,1,1
Q809440,4,4,0,1,1
Q41111704,1,0,1,1,1
Q9181,1,0,1,1,1
Q671872,1,0,1,1,1
Q289957,1,0,1,1,1
Q718460,1,1,0,1,1
Q726674,1,1,0,1,1
Q211246,1,0,1,1,1
Q51680,6,6,0,1,1
Q17131,13,13,0,1,1
Q313417,3,3,0,1,1
Q328739,1,1,0,1,1
Q63746299,1,0,1,1,1
Q1343034,1,0,1,1,1
Q284623,2,2,0,1,1
Q355121,2,2,0,1,1
Q63070,4,4,0,2,2
Q271474,3,3,0,1,1
