qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q1025598,7,7,0,7,5
Q5637034,2,0,2,2,2
Q137798603,2,2,0,2,2
Q9077,7,0,7,7,5
Q189689,21,21,0,14,4
Q131753159,1,1,0,1,1
Q751918,10,10,0,10,4
Q4201578,11,11,0,9,3
Q4290819,3,3,0,3,2
Q9252723,11,7,4,10,3
Q135646994,2,0,2,2,2
Q137798632,1,1,0,1,1
Q138862854,1,1,0,1,1
Q139591988,1,0,1,1,1
Q139268424,1,1,0,1,1
Q140312932,1,1,0,1,1
Q140312947,1,1,0,1,1
Q41370,8,0,8,7,2
Q139574817,1,0,1,1,1
Q131782877,1,1,0,1,1
Q139694004,1,0,1,1,1
Q140133383,1,1,0,1,1
Q139969885,1,1,0,1,1
Q138862662,1,0,1,1,1
Q140316308,1,1,0,1,1
Q139567993,2,2,0,2,1
Q138727580,1,0,1,1,1
Q138862863,1,1,0,1,1
Q140131632,1,0,1,1,1
Q139008748,1,0,1,1,1
Q137798637,1,1,0,1,1
Q112991274,1,1,0,1,1
Q140160096,1,1,0,1,1
Q138757378,1,0,1,1,1
Q320139,3,3,0,3,2
Q6884731,1,1,0,1,1
Q138782353,1,0,1,1,1
Q138862840,1,0,1,1,1
Q139008708,1,0,1,1,1
Q139602752,1,0,1,1,1
Q65303005,1,0,1,1,1
Q139575116,1,0,1,1,1
Q139075889,1,0,1,1,1
Q138943655,1,0,1,1,1
Q139115091,1,0,1,1,1
Q139678428,3,2,1,3,3
Q138713763,3,2,1,3,3
Q139890037,1,0,1,1,1
Q138834645,1,0,1,1,1
Q139691790,1,0,1,1,1
Q138713964,1,0,1,1,1
Q139601184,1,0,1,1,1
Q140133508,1,0,1,1,1
Q139969310,1,0,1,1,1
Q139780600,1,0,1,1,1
Q139592150,1,0,1,1,1
Q37085,5,0,5,5,4
Q139741904,1,0,1,1,1
Q139741971,1,0,1,1,1
Q140030834,1,0,1,1,1
Q138721677,1,0,1,1,1
Q140047323,1,0,1,1,1
Q6710215,1,0,1,1,1
Q191787,13,13,0,13,2
Q140068852,1,1,0,1,1
Q138716465,1,1,0,1,1
Q139104438,1,1,0,1,1
Q138772237,1,1,0,1,1
Q139694083,4,4,0,4,3
Q140184315,4,4,0,4,3
Q138713794,1,1,0,1,1
Q140320787,1,1,0,1,1
Q139568083,1,1,0,1,1
Q7734,1,0,1,1,1
Q3344859,1,0,1,1,1
Q140185477,3,3,0,3,2
Q139694166,1,1,0,1,1
Q125503923,1,1,0,1,1
Q9181,2,0,2,1,1
Q887987,1,0,1,1,1
Q878675,1,0,1,1,1
Q138720623,1,1,0,1,1
Q138721112,1,1,0,1,1
Q140185493,1,1,0,1,1
Q140047142,1,1,0,1,1
Q139383032,1,0,1,1,1
Q138863187,1,1,0,1,1
Q140185502,1,1,0,1,1
Q140315804,1,1,0,1,1
Q138862844,1,1,0,1,1
Q139799192,1,1,0,1,1
Q139575205,1,1,0,1,1
Q140146976,1,1,0,1,1
Q138648164,1,1,0,1,1
Q139118559,1,1,0,1,1
Q139582348,1,1,0,1,1
Q138744799,1,1,0,1,1
Q138862880,1,1,0,1,1
Q139884166,1,1,0,1,1
Q138726143,1,1,0,1,1
Q139600900,1,1,0,1,1
Q51676,2,0,2,2,2
Q282220,3,0,3,2,1
Q460763,3,1,2,3,1
Q139216041,1,1,0,1,1
Q139269155,1,0,1,1,1
Q138772286,1,0,1,1,1
Q138721154,1,0,1,1,1
Q140030848,1,0,1,1,1
Q1814684,2,0,2,2,1
Q140047193,1,0,1,1,1
Q138640478,1,0,1,1,1
Q138772321,1,0,1,1,1
Q125747629,1,1,0,1,1
Q140472446,1,1,0,1,1
Q138792911,1,0,1,1,1
Q115738592,1,0,1,1,1
Q138722307,1,0,1,1,1
Q138772355,1,0,1,1,1
Q138863473,1,1,0,1,1
Q139581847,1,0,1,1,1
Q140320763,1,1,0,1,1
Q139601236,1,1,0,1,1
Q138834681,1,1,0,1,1
Q139270863,1,1,0,1,1
Q139799251,1,0,1,1,1
Q43280403,2,1,1,2,2
Q3223065,1,0,1,1,1
Q2256348,1,0,1,1,1
Q140472461,2,2,0,2,1
Q139490514,1,1,0,1,1
Q783824,2,1,1,2,1
Q11979099,4,4,0,3,1
Q6268944,4,4,0,4,2
Q6215520,4,4,0,3,1
Q2723012,2,2,0,2,1
Q138713100,1,1,0,1,1
Q138772663,1,1,0,1,1
Q138792923,1,1,0,1,1
Q139270899,1,1,0,1,1
Q138722243,1,1,0,1,1
Q215512,1,0,1,1,1
Q140316349,1,1,0,1,1
Q138772765,1,1,0,1,1
Q139383649,1,1,0,1,1
Q138772799,1,1,0,1,1
Q139270923,1,1,0,1,1
Q574641,1,0,1,1,1
Q140131608,1,1,0,1,1
Q138862884,1,1,0,1,1
Q138863241,1,0,1,1,1
