qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q9077,235,234,1,220,33
Q51676,102,91,11,98,22
Q625661,10,0,8,9,5
Q18198564,5,5,0,5,4
Q18198582,5,0,5,5,4
Q1773005,9,0,9,9,6
Q20605895,5,5,0,5,4
Q123121015,5,0,5,5,4
Q282220,12,0,11,12,7
Q1784980,5,5,0,5,4
Q2038223,5,0,5,5,4
Q651256,10,0,10,10,7
Q126163976,5,5,0,5,4
Q126178161,5,0,5,5,4
Q614575,9,0,9,9,6
Q125504565,5,5,0,5,4
Q124311576,5,0,5,5,4
Q145746,11,0,11,11,7
Q203251,11,0,11,11,6
Q10271944,5,5,0,5,4
Q85852675,5,0,5,5,4
Q1056931,19,0,19,18,9
Q138685425,5,5,0,5,4
Q126083612,5,0,5,5,4
Q460763,9,0,9,9,6
Q3494535,5,5,0,5,4
Q125912323,5,0,5,5,4
Q550869,10,0,10,9,6
Q4695102,5,5,0,5,4
Q4747248,5,0,5,5,4
Q1775026,9,0,9,9,6
Q20605581,5,5,0,5,4
Q125480927,5,0,5,5,4
Q851749,8,0,8,8,5
Q14925563,5,5,0,5,4
Q126065560,5,0,5,5,4
Q1771963,9,0,9,9,6
Q4695133,5,5,0,5,4
Q124256037,5,0,5,5,4
Q215512,11,1,10,10,6
Q1941782,4,4,0,4,2
Q321166,4,4,0,4,2
Q159443,48,45,3,47,13
Q1675214,19,19,0,19,6
Q2915121,4,2,2,4,2
Q2914557,6,3,3,6,3
Q2670550,6,2,4,6,3
Q85853840,1,1,0,1,1
Q3482128,1,1,0,1,1
Q477527,4,4,0,3,2
Q2210407,2,2,0,2,2
Q1800542,1,1,0,1,1
Q4207606,2,1,1,2,1
Q85854044,1,1,0,1,1
Q85854187,1,1,0,1,1
Q126130203,1,0,1,1,1
Q125747497,1,1,0,1,1
Q138609372,1,0,1,1,1
Q14925385,2,2,0,2,1
Q56473842,2,2,0,2,1
Q56473843,2,2,0,2,1
Q7734,14,14,0,13,7
Q3344859,11,0,11,11,7
Q1938388,7,7,0,7,3
Q2650721,3,3,0,3,2
Q126193237,1,0,1,1,1
Q126178411,3,3,0,3,2
Q125568154,1,0,1,1,1
Q922184,10,10,0,10,5
Q11927454,7,0,7,7,5
Q126087472,3,3,0,3,2
Q126083819,3,3,0,3,2
Q126166031,1,0,1,1,1
Q125510439,3,3,0,3,2
Q126178591,1,0,1,1,1
Q125510705,3,3,0,3,2
Q126178639,1,0,1,1,1
Q125912635,3,3,0,3,2
Q125510727,1,0,1,1,1
Q126178728,1,1,0,1,1
Q126010368,3,2,1,3,2
Q1703736,3,3,0,3,2
Q2381688,1,0,1,1,1
Q104412955,3,3,0,3,2
Q126131611,1,0,1,1,1
Q120727077,1,0,1,1,1
Q16882450,1,0,1,1,1
Q120727174,1,0,1,1,1
Q1812268,3,0,3,3,1
Q1337316,15,14,1,15,3
Q2238834,8,8,0,6,2
Q9560907,8,8,0,6,2
Q65128117,4,0,4,4,2
Q18227832,1,1,0,1,1
Q126084760,1,0,1,1,1
Q289957,18,0,1,10,4
Q887987,8,8,0,8,2
Q878675,3,3,0,3,2
Q1411953,40,40,0,36,3
Q126179308,5,0,5,5,2
Q574641,63,62,1,55,4
Q124759404,4,0,4,4,3
Q203956,4,4,0,3,1
Q1352758,7,7,0,5,1
Q128063,3,3,0,3,2
Q125747738,1,0,1,1,1
Q138714622,2,0,2,2,2
Q65128328,2,0,2,2,1
Q106808575,2,2,0,2,1
Q65125957,1,1,0,1,1
Q1347943,1,1,0,1,1
Q661074,1,1,0,1,1
Q1814684,2,2,0,2,1
Q4177234,1,1,0,1,1
Q65129982,1,1,0,1,1
Q44126900,1,1,0,1,1
Q44126901,1,1,0,1,1
Q44126902,1,1,0,1,1
Q85854026,5,2,3,5,4
Q85853273,5,5,0,4,3
Q138609112,1,1,0,1,1
Q85853471,1,1,0,1,1
Q85854727,1,1,0,1,1
Q85854716,1,1,0,1,1
Q85853477,3,1,2,3,2
Q2659583,12,2,10,9,3
Q4285720,3,3,0,3,3
Q27587326,3,3,0,3,3
Q4498664,3,3,0,3,3
Q4293448,3,3,0,3,3
Q27587242,3,3,0,3,3
Q85852878,1,1,0,1,1
Q85854843,1,1,0,1,1
Q85853185,1,1,0,1,1
Q22018139,2,1,1,2,1
Q85852737,1,1,0,1,1
Q85853140,1,1,0,1,1
Q47008639,2,0,2,1,1
Q2899037,1,1,0,1,1
Q85854718,1,1,0,1,1
Q594805,1,1,0,1,1
Q25803431,1,1,0,1,1
Q126167657,1,1,0,1,1
Q125749914,1,1,0,1,1
Q126168038,1,1,0,1,1
Q9181,1,0,1,1,1
Q671872,1,0,1,1,1
Q126164463,1,1,0,1,1
Q126192673,1,1,0,1,1
Q138721693,1,0,1,1,1
Q126083517,1,1,0,1,1
Q126058920,1,0,1,1,1
Q126036170,1,1,0,1,1
Q126087592,1,0,1,1,1
Q11689904,1,1,0,1,1
Q126082759,1,0,1,1,1
Q124763187,1,1,0,1,1
Q126192599,1,0,1,1,1
Q138698783,1,1,0,1,1
Q126086906,1,0,1,1,1
Q138698787,1,1,0,1,1
Q126030419,1,0,1,1,1
Q126030524,1,1,0,1,1
Q126192834,1,0,1,1,1
Q138721699,1,0,1,1,1
