qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q41370,93,0,93,89,77
Q205372,1,0,1,1,1
Q123169391,1,1,0,1,1
Q28730,5,0,5,5,5
Q289957,36,0,24,32,25
Q3567244,1,0,1,1,1
Q9181,4,0,4,4,2
Q282220,1,0,1,1,1
Q43280403,12,0,12,12,12
Q319116,1,0,1,1,1
Q272277,1,0,1,1,1
Q1234538,1,0,1,1,1
Q400257,1,0,1,1,1
Q1141064,1,0,1,1,1
Q37085,2,0,2,2,2
Q45090,1,0,1,1,1
Q145746,4,0,3,4,4
Q9077,9,0,9,9,6
Q51676,9,0,9,9,8
Q107437473,1,0,1,1,1
Q5942568,1,0,1,1,1
Q107437432,1,0,1,1,1
Q107437434,1,0,1,1,1
Q3307159,1,1,0,1,1
Q1370913,1,1,0,1,1
Q6577515,1,0,1,1,1
Q671872,1,0,1,1,1
Q2238834,1,0,1,1,1
Q9560907,1,0,1,1,1
Q128063,1,0,1,1,1
Q219395,1,0,1,1,1
Q302,1,0,1,1,1
Q887987,2,0,2,2,2
Q878675,2,0,2,2,2
Q215512,1,0,1,1,1
