qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs
Q9200,1,1,0,1,1
Q302,81,0,81,77,15
Q41370,3,0,3,3,3
Q9181,12,0,12,11,3
Q194808,2,0,2,2,2
Q70899,2,0,2,1,1
Q9077,4,0,4,4,3
Q671872,3,0,3,3,1
Q289957,3,0,3,3,1
Q220822,3,0,3,3,1
Q40520,1,0,1,1,1
Q188794,5,0,5,5,3
Q460763,1,0,0,1,1
Q133507,1,0,1,1,1
Q45090,1,0,1,1,1
Q291547,1,1,0,1,1
Q22661413,1,1,0,1,1
Q46512139,1,1,0,1,1
Q6778753,1,0,1,1,1
Q262766,1,1,0,1,1
Q477211,1,1,0,1,1
Q65246466,1,1,0,1,1
Q9340990,1,1,0,1,1
Q618161,1,1,0,1,1
Q129565995,1,1,0,1,1
Q7848786,1,1,0,1,1
Q129566137,1,1,0,1,1
Q752778,1,1,0,1,1
Q129562335,1,1,0,1,1
Q129562703,1,1,0,1,1
Q129566042,1,1,0,1,1
Q212647,1,1,0,1,1
Q126521835,1,1,0,1,1
Q1960801,1,1,0,1,1
