qid,totalRefs,totalPrimaryRefs,totalSecondaryRefs,verseRefs,chapterRefs,bookRefs,books
Q70899,41,30,10,11,11,8,GEN;1CH;HOS;LUK;ROM;1CO;1TI;JUD
Q830183,19,17,2,5,5,3,GEN;2CO;1TI
Q205365,23,16,7,4,4,4,GEN;HEB;1JN;JUD
Q313421,17,10,7,6,6,5,GEN;MAT;LUK;HEB;1JN
Q134373856,1,1,0,1,1,1,GEN
Q2495184,3,3,0,1,1,1,GEN
Q3364264,2,2,0,1,1,1,GEN
Q10329365,2,2,0,1,1,1,GEN
Q10329289,2,2,0,1,1,1,GEN
Q155852,5,4,1,1,1,1,GEN
Q1809123,5,5,0,1,1,1,GEN
Q203082,5,5,0,1,1,1,GEN
Q1676803,1,1,0,1,1,1,GEN
Q1432204,1,1,0,1,1,1,GEN
Q1356181,2,2,0,1,1,1,GEN
Q1542154,2,2,0,1,1,1,GEN
Q107626,10,8,2,4,4,3,GEN;1CH;LUK
Q682531,8,6,2,4,4,3,GEN;1CH;LUK
Q844433,7,5,2,3,3,3,GEN;1CH;LUK
Q10297002,7,5,2,3,3,3,GEN;1CH;LUK
Q927410,7,5,2,3,3,3,GEN;1CH;LUK
Q213027,10,6,4,5,5,5,GEN;1CH;LUK;HEB;JUD
Q156290,7,5,2,3,3,3,GEN;1CH;LUK
Q10921342,7,5,2,3,3,3,GEN;1CH;LUK
Q81422,58,44,14,14,14,8,GEN;1CH;ISA;EZK;MAT;LUK;HEB;1PE
Q200902,29,23,6,9,9,3,GEN;1CH;LUK
Q229702,20,17,3,7,7,2,GEN;1CH
Q200637,20,15,5,7,7,2,GEN;1CH
Q107442921,3,3,0,3,3,1,GEN
Q204797,10,7,2,3,3,2,GEN;1CH
Q1148172,4,2,2,2,2,2,GEN;1CH
Q1964706,3,1,1,3,3,3,GEN;1CH;EZK
Q1790796,2,1,1,2,2,2,GEN;1CH
Q1684266,4,2,2,2,2,2,GEN;1CH
Q1481766,2,1,1,2,2,2,GEN;1CH
Q30973,2,1,1,2,2,2,GEN;1CH
Q1481751,2,1,1,2,2,2,GEN;1CH
Q722770,2,1,1,2,2,2,GEN;1CH
Q2918052,2,1,1,2,2,2,GEN;1CH
Q1068499,2,1,1,2,2,2,GEN;1CH
Q1330627,2,1,1,2,2,2,GEN;1CH
Q125487467,1,1,0,1,1,1,GEN
Q1138595,6,3,3,2,2,2,GEN;1CH
Q1369215,4,2,2,2,2,2,GEN;1CH
Q946939,2,1,1,2,2,2,GEN;1CH
Q23639444,2,1,1,2,2,2,GEN;1CH
Q32945196,2,1,1,2,2,2,GEN;1CH
Q13143737,2,1,1,2,2,2,GEN;1CH
Q3085764,4,2,2,2,2,2,GEN;1CH
Q124169540,2,1,1,2,2,2,GEN;1CH
Q125399193,2,1,1,2,2,2,GEN;1CH
Q124305605,2,1,1,2,2,2,GEN;1CH
Q201861,4,2,1,3,3,3,GEN;1CH;MIC
Q3541553,3,1,1,2,2,2,GEN;1CH
Q502282,11,6,5,4,4,3,GEN;1CH;LUK
Q1147704,2,1,1,2,2,2,GEN;1CH
Q2426606,2,1,1,2,2,2,GEN;1CH
Q457520,10,6,4,4,4,3,GEN;1CH;LUK
Q1815870,2,1,1,2,2,2,GEN;1CH
Q625667,4,2,2,2,2,2,GEN;1CH
Q2558734,2,1,1,2,2,2,GEN;1CH
Q2898616,2,1,1,2,2,2,GEN;1CH
Q2910407,2,1,1,2,2,2,GEN;1CH
Q13418757,2,1,1,2,2,2,GEN;1CH
Q1827950,10,6,4,4,4,3,GEN;1CH;LUK
Q1648259,9,5,4,4,4,3,GEN;1CH;LUK
Q1553059,7,3,4,2,2,2,GEN;1CH
Q2905798,2,1,1,2,2,2,GEN;1CH
Q7493584,2,1,1,2,2,2,GEN;1CH
Q2905463,2,1,1,2,2,2,GEN;1CH
Q18276083,2,1,1,2,2,2,GEN;1CH
Q5638029,2,1,1,2,2,2,GEN;1CH
Q7904500,2,1,1,2,2,2,GEN;1CH
Q63433898,2,1,1,2,2,2,GEN;1CH
Q115760490,2,1,1,2,2,2,GEN;1CH
Q14925390,2,1,1,2,2,2,GEN;1CH
Q138636936,2,1,1,2,2,2,GEN;1CH
Q125345983,2,1,1,2,2,2,GEN;1CH
Q138636935,2,1,1,2,2,2,GEN;1CH
Q44123555,2,1,1,2,2,2,GEN;1CH
Q2040793,6,4,2,3,3,3,GEN;1CH;LUK
Q1161313,6,4,2,3,3,3,GEN;1CH;LUK
Q888890,6,4,2,3,3,3,GEN;1CH;LUK
Q586541,15,11,4,7,7,5,GEN;JOS;1CH;LUK;ACT
Q9181,361,179,182,81,81,26,GEN;EXO;NUM;DEU;JOS;1KI;2KI;1CH;2CH;NEH;PSA;ISA;JER;EZK;MIC;MAT;MRK;LUK;JHN;ACT;ROM;2CO;GAL;HEB;JAS;1PE
Q6323112,15,7,8,6,6,2,GEN;JOS
Q1199156,6,5,1,1,1,1,GEN
Q40574,47,40,7,8,8,4,GEN;DEU;LUK;2PE
Q194808,72,56,16,18,18,6,GEN;ISA;ROM;GAL;HEB;1PE
Q1752707,8,5,3,3,3,1,GEN
Q6079192,1,1,0,1,1,1,GEN
Q2844493,6,5,1,2,2,2,GEN;HEB
Q2712606,6,5,1,2,2,2,GEN;HEB
Q2118973,8,7,1,2,2,2,GEN;HEB
Q7800767,6,5,1,2,2,2,GEN;HEB
Q4890957,7,7,0,1,1,1,GEN
Q106079868,4,4,0,1,1,1,GEN
Q9351421,3,3,0,1,1,1,GEN
Q125415429,3,3,0,1,1,1,GEN
Q125295074,2,2,0,1,1,1,GEN
Q125022203,2,1,1,1,1,1,GEN
Q124541960,2,1,1,1,1,1,GEN
Q219395,14,2,12,5,5,3,GEN;PSA;HEB
Q14933103,1,1,0,1,1,1,GEN
Q214617,28,23,5,4,4,2,GEN;GAL
Q183403,40,29,11,8,8,3,GEN;1CH;GAL
Q671872,190,115,75,51,51,19,GEN;EXO;NUM;DEU;JOS;1KI;2KI;1CH;PSA;JER;AMO;MAT;MRK;LUK;ACT;ROM;GAL;HEB;JAS
Q109496487,10,10,0,1,1,1,GEN
Q109496488,10,10,0,1,1,1,GEN
Q2575060,4,4,0,2,2,2,GEN;LUK
Q1585141,1,1,0,1,1,1,GEN
Q9168580,1,1,0,1,1,1,GEN
Q1343803,27,27,0,3,3,1,GEN
Q10282102,3,3,0,2,2,1,GEN
Q47010789,2,2,0,1,1,1,GEN
Q114056663,2,2,0,1,1,1,GEN
Q11944206,2,2,0,1,1,1,GEN
Q114056787,2,2,0,1,1,1,GEN
Q114056831,2,2,0,1,1,1,GEN
Q125072190,2,2,0,1,1,1,GEN
Q125188731,2,2,0,1,1,1,GEN
Q1579827,11,5,6,4,4,1,GEN
Q40520,50,45,5,10,10,2,GEN;ROM
Q108773808,2,2,0,1,1,1,GEN
Q14923275,1,1,0,1,1,1,GEN
Q125150030,1,1,0,1,1,1,GEN
Q125484379,1,1,0,1,1,1,GEN
