Book,zwd-ids,zwd-types,zdate
GEN,all,all,all
EXO,all,all,all
LEV,all,all,all
NUM,all,,all
DEU,all,all,all
JOS,all,all,all
JDG,all,all,
RUT,,,
1SA,,,all
2SA,,,notable
1KI,all,all,all
2KI,notable,all,all
1CH,notable,all,some
2CH,all,all,all
EZR,notable,,all
NEH,notable,all,
EST,notable,all,all
JOB,all,all,all
PSA,all,all,
PRO,all,all,all
ECC,all,all,all
SNG,all,all,all
ISA,all,all,all
JER,,,
LAM,all,all,
EZK,all,all,all
DAN,all,all,all
HOS,all,all,all
JOL,all,all,
AMO,all,all,all
OBA,all,all,
JON,all,all,
MIC,all,all,all
NAM,all,all,all
HAB,all,all,
ZEP,all,all,all
HAG,all,all,all
ZEC,all,all,all
MAL,all,all,
MAT,all,all,all
MRK,all,all,all
LUK,,,
JHN,,,
ACT,,,
ROM,all,all,
1CO,,,
2CO,all,all,
GAL,all,all,
EPH,all,all,
PHP,all,all,
COL,all,all,
1TH,all,all,
2TH,all,all,
1TI,all,all,
2TI,notable,all,
TIT,all,all,
PHM,notable,all,
HEB,all,all,
JAS,all,all,
1PE,all,all,
2PE,all,all,
1JN,all,all,
2JN,notable,all,
3JN,notable,all,
JUD,all,all,
REV,all,all,
